fund_id,transaction_date,firm_id,transaction_type,transaction_amount,cumulative_contribution,cumulative_distribution,net_cashflow
14010,2023-12-31,7225,Value,4217381.66,-9860833.33,11099728.71,1238895.38
14077,2023-12-31,211,Value,603782.16,-10861388.07,17724797.16,6863409.09
14146,2023-12-31,487,Value,2042177.62,-9599998.95,7152982.26,-2447016.69
14335,2023-12-31,6092,Value,4697158.5,-9575910.5,7673104.5,-1902806
14366,2023-12-31,573,Value,543798.2,-6640000,10042861.69,3402861.69
14420,2023-12-31,537,Value,2236773.47,-10000000,25133464.3,15133464.3
14423,2023-12-31,1886,Value,3599788.4,-8749999.98,18297634.73,9547634.75
14424,2023-12-31,1886,Value,1074219.34,-9205000.05,13105000.06,3900000.01
14425,2023-12-31,1886,Value,9269480.58,-9904687.61,21262958.75,11358271.14
14427,2023-12-31,1886,Value,2317658.7,-7010000,7310000.03,300000.03
14470,2023-12-31,24,Value,3057049.33,-9800000,11958981.85,2158981.85
14475,2023-12-31,697,Value,13002081.18,-8050000,19215476.3,11165476.3
14533,2023-12-31,506,Value,4743761,-9450000,17941974.69,8491974.69
14537,2023-12-31,2447,Value,3077932,-8499714.67,15315493.32,6815778.65
14584,2023-12-31,93,Value,797222.22,-7519444.44,20747222.19,13227777.75
14597,2023-12-31,18,Value,5201042,-9180000,17225096.43,8045096.43
14621,2023-12-31,555,Value,296585,-8358598.75,25956711.23,17598112.48
14798,2023-12-31,361,Value,2346463.4,-9982940.8,30812651.96,20829711.16
14818,2023-12-31,17285,Value,4684618.4,-10007648.2,18777084.61,8769436.41
14884,2023-12-31,8417,Value,3515740.7,-10000000,12496080.2,2496080.2
14925,2023-12-31,832,Value,0,-11460665.64,8865851.4,-2594814.24
14933,2023-12-31,2005,Value,17909.91,-8466324.28,4318955.04,-4147369.24
14962,2023-12-31,376,Value,431394.19,-8482700.99,12484182.76,4001481.77
14995,2023-12-31,7550,Value,2173417.11,-10341811.78,14284279.31,3942467.53
15138,2023-12-31,211,Value,2048692.6,-10600208,12616369.58,2016161.58
15253,2023-12-31,140,Value,876960.93,-10066805.87,9825936.1,-240869.77
15257,2023-12-31,236,Value,5502800,-10000000,5492000,-4508000
15408,2023-12-31,355,Value,5750000,-8833333.33,13500000.02,4666666.69
15452,2023-12-31,1642,Value,2916921.02,-10321000,14937583.3,4616583.3
15496,2023-12-31,690,Value,237600,-9175200,25095999.98,15920799.98
15550,2023-12-31,18,Value,3371822.86,-9984905.71,22330182.82,12345277.11
15562,2023-12-31,11706,Value,98790.71,-12348839.09,24996792.38,12647953.29
15580,2023-12-31,18,Value,5643371.99,-8810000.21,16635939.08,7825938.87
15607,2023-12-31,30882,Value,1246705.2,-10533900.4,13620264.85,3086364.45
15667,2023-12-31,18,Value,1265714.03,-9489040.56,15607582.93,6118542.37
15681,2023-12-31,21626,Value,29112.87,-9509143.41,20561118.52,11051975.11
15708,2023-12-31,9407,Value,3268647.75,-6501445.75,11523567.49,5022121.74
15715,2023-12-31,22035,Value,12194524,-10044730,6068166.04,-3976563.96
15749,2023-12-31,2258,Value,0,-13503292.6,24646940.05,11143647.45
15777,2023-12-31,9455,Value,1217674.79,-9999998.65,10799998.54,799999.89
15853,2023-12-31,10266,Value,30674,-11007971.6,18621071.22,7613099.62
15936,2023-12-31,6372,Value,5062382.56,-10379678.38,18218437.03,7838758.65
16012,2023-12-31,9004,Value,1092509.05,-9955000,17857558.04,7902558.04
16023,2023-12-31,1886,Value,644726.17,-9530455.91,12341489.04,2811033.13
16065,2023-12-31,472,Value,0,-9885000,17029999.98,7144999.98
16101,2023-12-31,23,Value,2393167.7,-9620000,8150000.03,-1469999.97
16149,2023-12-31,910,Value,8860801.55,-11125717.75,30502129.27,19376411.52
16150,2023-12-31,910,Value,648495.67,-10322796,16695666.29,6372870.29
16394,2023-12-31,184,Value,1065667,-7027673.33,11512341.67,4484668.34
16483,2023-12-31,161,Value,72941.17,-10017647.06,24608235.3,14590588.24
16485,2023-12-31,801,Value,3551729.33,-10690361.33,15343073.73,4652712.4
16523,2023-12-31,9190,Value,5415518.7,-9800150.41,8881070.45,-919079.96
16600,2023-12-31,8396,Value,5032322.33,-9986978.86,13575143.37,3588164.51
16611,2023-12-31,6758,Value,1215000,-9367500,26182500.01,16815000.01
16663,2023-12-31,93,Value,7025879.41,-9835290,30529398.14,20694108.14
16665,2023-12-31,2166,Value,5137396.53,-11659939.47,18168571.2,6508631.73
16702,2023-12-31,24,Value,2991028.27,-9250000,25146613.4,15896613.4
16704,2023-12-31,24,Value,5600289.97,-9900000,13229396.53,3329396.53
16801,2023-12-31,10218,Value,762670,-10218880.67,14609297.36,4390416.69
16918,2023-12-31,15554,Value,1005396.4,-9994000,18531874.2,8537874.2
17136,2023-12-31,5571,Value,0,-5000000,9789718.8,4789718.8
17496,2023-12-31,780,Value,163484.53,-10672491.2,25437541.36,14765050.16
17838,2023-12-31,9004,Value,13131606.33,-10000000,2080721.5,-7919278.5
17906,2023-12-31,573,Value,5450798.4,-9319199.2,10190436.41,871237.21
17909,2023-12-31,4963,Value,2925497.69,-9894047.44,19743561.48,9849514.04
18019,2023-12-31,280,Value,4463538,-10131948,22040638.05,11908690.05
18031,2023-12-31,2102,Value,1475380.01,-11106378,14061045.95,2954667.95
18033,2023-12-31,18,Value,6745077.33,-9185000,10632578.69,1447578.69
18046,2023-12-31,22965,Value,9095985,-9999271,2774401.03,-7224869.97
18076,2023-12-31,1759,Value,3517650.59,-11270237.4,20228396.98,8958159.58
18205,2023-12-31,14363,Value,4504365.71,-12249282.29,10872706.23,-1376576.06
18287,2023-12-31,24,Value,5807885.91,-9200000,14499718.42,5299718.42
18296,2023-12-31,6649,Value,0,-8524000,23875724,15351724
18320,2023-12-31,573,Value,6730000,-9070000,15544999.99,6474999.99
18322,2023-12-31,24,Value,1089230.45,-9700000,12705391.26,3005391.26
18373,2023-12-31,6144,Value,215145.33,-9888870.28,18194380.73,8305510.45
18415,2023-12-31,7,Value,3745623.6,-9950000,15596609.48,5646609.48
18452,2023-12-31,1880,Value,4783252.67,-9226421.33,9464151.98,237730.65
18599,2023-12-31,7,Value,5063105.71,-9900115.71,15162864.56,5262748.85
18783,2023-12-31,6629,Value,281892.96,-12336739.9,8706784.09,-3629955.81
18795,2023-12-31,96,Value,3138600.8,-11672000,14147631.2,2475631.2
18817,2023-12-31,8441,Value,698787.71,-7965841.29,15796477.32,7830636.03
18819,2023-12-31,1597,Value,7462799.5,-8750000,12452455.49,3702455.49
18975,2023-12-31,11277,Value,210469.88,-9711108.43,6983459.48,-2727648.95
18977,2023-12-31,2575,Value,1570732,-10000000,4096084,-5903916
19039,2023-12-31,6663,Value,6360016.99,-11863689,12834870.04,971181.04
19133,2023-12-31,45,Value,0,-10000000,32395157.6,22395157.6
19139,2023-12-31,355,Value,3712999.4,-9500000,11882974.78,2382974.78
19144,2023-12-31,18,Value,4012682,-8895000,13653329.37,4758329.37
19158,2023-12-31,2901,Value,17845441.6,-9400000,23590285.59,14190285.59
19574,2023-12-31,13022,Value,17162.38,-10398512.66,36439387.19,26040874.53
19807,2023-12-31,581,Value,4668377.66,-12936823.76,10931256.56,-2005567.2
19880,2023-12-31,11813,Value,11170704,-9300000,23874505.32,14574505.32
20206,2023-12-31,346,Value,0,-10588666.67,21548666.66,10959999.99
20318,2023-12-31,656,Value,3173944.66,-9022462,9968091.99,945629.99
20322,2023-12-31,77,Value,25492.5,-8239185.63,13205219.98,4966034.35
20390,2023-12-31,651,Value,4600834,-8357602,13804914.98,5447312.98
20414,2023-12-31,264,Value,0,-9869011.02,17207205.45,7338194.43
20425,2023-12-31,372,Value,1104902.26,-15838642.46,22257452.83,6418810.37
20428,2023-12-31,395,Value,859200,-10000000,14728000,4728000
20526,2023-12-31,6754,Value,1888959.2,-9619030,14488074.39,4869044.39
20597,2023-12-31,785,Value,5162547.5,-10962411,18405850.8,7443439.8
20678,2023-12-31,613,Value,7679843.4,-15781312.53,24019075.13,8237762.6
20760,2023-12-31,2901,Value,629177.34,-9200000,11941578.2,2741578.2
20928,2023-12-31,211,Value,81244,-10094925,9746098,-348827
21014,2023-12-31,18,Value,3229460,-9610000,14781200.01,5171200.01
21015,2023-12-31,18,Value,4036377.7,-9005000.43,13698812.51,4693812.08
